"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 08 16:19:13 CST 2023","Wed Mar 08 16:19:14 CST 2023","845","testcases.collect","test_collect_add_site","TestCaseCollectAddSite","","","开发环境","TestCase ID: 59571a0f-3ab1-46d4-a1a2-4da3fb91a8b2"
"passed","Wed Mar 08 16:19:14 CST 2023","Wed Mar 08 16:19:14 CST 2023","716","testcases.collect","test_collect_add_site","TestCaseCollectAddSite","","","开发环境","TestCase ID: d7eba628-56e3-45ca-8901-0719b543d03b"
